ITUB4	ITAUUNIBANCO
VALE3	VALE
BBDC4	BRADESCO
PETR4	PETROBRAS
B3SA3	B3
PETR3	PETROBRAS
ABEV3	AMBEV S/A
BBAS3	BRASIL
ITSA4	ITAUSA
JBSS3	JBS
LREN3	LOJAS RENNER
BBDC3	BRADESCO
IRBR3	IRBBRASIL RE
BRFS3	BRF SA
RENT3	LOCALIZA
RAIL3	RUMO S.A.
SUZB3	SUZANO S.A.
VIVT4	TELEF BRASIL
BBSE3	BBSEGURIDADE
BRDT3	PETROBRAS BR
UGPA3	ULTRAPAR
RADL3	RAIADROGASIL
GNDI3	INTERMEDICA
MGLU3	MAGAZ LUIZA
EQTL3	EQUATORIAL
CCRO3	CCR SA
SBSP3	SABESP
WEGE3	WEG
SANB11	SANTANDER BR
KROT3	KROTON
AZUL4	AZUL
CMIG4	CEMIG
EMBR3	EMBRAER
GGBR4	GERDAU
HYPE3	HYPERA
PCAR4	P.ACUCAR-CBD
LAME4	LOJAS AMERIC
ELET3	ELETROBRAS
NATU3	NATURA
EGIE3	ENGIE BRASIL
BRML3	BR MALLS PAR
ELET6	ELETROBRAS
BPAC11	BTGP BANCO
KLBN11	KLABIN S/A
YDUQ3	YDUQS PART
CSNA3	SID NACIONAL
TIMP3	TIM PART S/A
BTOW3	B2W DIGITAL
CIEL3	CIELO
CSAN3	COSAN
VVAR3	VIAVAREJO
BRKM5	BRASKEM
CVCB3	CVC BRASIL
FLRY3	FLEURY
MULT3	MULTIPLAN
BRAP4	BRADESPAR
TAEE11	TAESA
QUAL3	QUALICORP
CYRE3	CYRELA REALT
ENBR3	ENERGIAS BR
MRVE3	MRV
GOLL4	GOL
USIM5	USIMINAS
IGTA3	IGUATEMI
GOAU4	GERDAU MET
MRFG3	MARFRIG
ECOR3	ECORODOVIAS
SMLS3	SMILES
